year,country,skin,bladder,uterus,"colon, rectum and anus",breast,ovary,prostate,"trachea, bronchus and lung"
2015,Norway,19.6,18.7,2.9,93.9,20.8,10.7,50.9,130.7
2015,Peru,3.9000000000000004,5.5,10.6,28.4,10.8,4.1,29.4,36.9
2015,Poland,12.0,35.0,7.2,102.5,28.3,12.6,37.8,196.2
2015,Portugal,6.5,25.3,2.9,93.7,23.7,4.9,34.0,103.19999999999999
2015,Romania,6.2,24.400000000000002,14.5,91.2,29.1,9.0,27.7,155.1
2015,Russia,8.3,18.2,7.9,96.1,26.9,9.1,29.8,128.7
2015,Slovenia,17.3,26.5,3.9,106.1,31.8,11.5,49.6,161.29999999999998
2015,South Africa,7.8,13.7,24.8,45.7,26.0,5.9,74.8,90.3
2015,Spain,6.2,28.099999999999998,2.4,87.1,20.8,6.9,25.4,133.0
2015,Sweden,14.5,18.9,3.0,75.8,23.9,8.8,50.3,99.0
2015,Switzerland,11.7,19.6,1.5,59.4,28.1,8.8,37.1,111.9
2015,Türkiye,3.5999999999999996,17.9,1.8,50.9,14.5,5.6,25.0,159.29999999999998
2015,United Kingdom,10.9,24.2,2.4,71.9,30.4,10.7,40.2,156.4
2015,United States,9.2,17.7,2.6,53.7,24.9,8.4,24.1,157.5
2016,Argentina,5.3,17.3,6.5,80.8,33.5,7.2,37.4,100.8
2016,Australia,17.5,14.399999999999999,2.2,59.7,24.6,7.8,33.9,115.0
2016,Austria,11.100000000000001,18.9,2.7,65.7,28.3,9.4,31.3,125.6
2016,Belgium,8.2,21.1,2.2,65.1,31.1,8.0,28.9,156.9
2016,Brazil,4.6,12.9,7.3,46.2,21.8,5.2,39.6,72.5
2016,Bulgaria,5.7,24.4,7.9,90.0,26.8,9.1,28.2,123.9
2016,Canada,8.7,20.0,2.1,71.80000000000001,26.1,8.8,28.2,165.0
2016,Chile,4.8,14.0,7.9,62.0,19.4,6.3,46.4,77.0
2016,Colombia,4.2,7.0,10.3,42.9,19.4,6.3,32.4,56.7
2016,Costa Rica,4.5,7.1,7.7,59.0,19.8,4.0,37.3,32.9
2016,Croatia,15.3,31.7,4.4,141.60000000000002,34.9,10.7,43.9,186.0
2016,Czechia,12.0,24.4,5.1,97.8,26.2,9.7,34.4,142.0
